NGÀY SCAN,STT,SỐ TRACKING,GHI CHÚ
14/01/2022,192,C00HHA0133184118,
14/01/2022,193,PBTH3365138001,
14/01/2022,194,T002VA0434680830,
14/01/2022,195,T00P0A0020530717,
14/01/2022,196,T002VA0437660196,
14/01/2022,197,240812989527,MUK THONG
14/01/2022,198,HQ37385,MUK QUAN
14/01/2022,199,0508AEDAB50,MUK QUAN
14/01/2022,200,0212B49F041D15CA,MUK THONG
14/01/2022,201,ƯD203985534GB,
14/01/2022,202,ƯD387141387GB,
14/01/2022,203,1 KIỆN MUK PHUONG HN,
14/01/2022,204,%0SE83PR15503750431520812826,
15/01/2022,205,PBTH3025355001,
15/01/2022,206,QA1897813174,
15/01/2022,207,QA1895433442,
15/01/2022,208,QA1898113812,
15/01/2022,209,JJD000298402003271262,
15/01/2022,210,1010095741850966702400288646503027,
15/01/2022,211,SN211383496GB,
15/01/2022,212,PBTH3366031001,
15/01/2022,213,PBTH3025196001,
15/01/2022,214,WD450447260GB,
15/01/2022,215,%0SE83PR04361199577850101904,
15/01/2022,216,T002VA0438742242,
15/01/2022,217,T002VA0439391503,
15/01/2022,218,T002VA0438742278,
15/01/2022,219,T002VA0438742266,
15/01/2022,220,T002VA0438247747,
15/01/2022,221,T002VA0438742254,
15/01/2022,222,T002VA0440138106,
15/01/2022,223,T002VA0434563591,
16/01/2022,224,21082842907400100033,
17/01/2022,225,T00K5A0022324539,
17/01/2022,226,T002VA0441522479,
17/01/2022,227,T002VA0441179002,
17/01/2022,228,PBTH3924818001,
17/01/2022,229,21082875914600100037,
17/01/2022,230,%0SE83PR15505453085425812826,
17/01/2022,231,1Z598W22DK25273265,
17/01/2022,232,21282665924200100039,
17/01/2022,233,NY822149306GB,
17/01/2022,234,T00BIA0011087696,
17/01/2022,235,11151224320,
17/01/2022,236,T002VA0440083692,
17/01/2022,237,T00KMA0177285945,
17/01/2022,238,T00B8A0065688575,
17/01/2022,239,T00NWA0027586503,
17/01/2022,240,T00KMA0175621276,
17/01/2022,241,T002VA0441178997,
17/01/2022,242,H0067A0047623497,
17/01/2022,243,021007DB03B2ED7F,
17/01/2022,244,0508B39DB16,
17/01/2022,245,0508B2B9C2D,
17/01/2022,246,BN546111580GB,
17/01/2022,247,L10023111012022200,
17/01/2022,248,3 KIEN K TRACKING,MUK QUAN HN
17/01/2022,249,0508B3F971E,
17/01/2022,250,02134D7003325587,
18/01/2022,251,QA1904741000,
18/01/2022,252,QA1897535301,
18/01/2022,253,QA1904791663,
18/01/2022,254,15505169082591,
18/01/2022,255,PBTH3924818002,
18/01/2022,256,1 KIEN SA SG,
18/01/2022,257,XYKFPWVGMMJRTU50,ANNHIEN
18/01/2022,258,9URFUEQ413Z2GRS6,ANNHIEN
18/01/2022,259,NY674655554GB,
18/01/2022,260,WJ938463237GB,
18/01/2022,261,WD275977055GB,
18/01/2022,262,WD275977055GB,
18/01/2022,263,1 KIEN MUK QUAN,
18/01/2022,264,3203298930003505B166A,
18/01/2022,265,02136CFC02F1C68A,
18/01/2022,266,32058127000134DFDB400,
18/01/2022,267,T00KMA0178150624,
18/01/2022,268,T00KMA0178285275,
18/01/2022,269,T00B8A0066210791,
18/01/2022,270,T002VA0443690224,
18/01/2022,271,T002VA0443690212,
18/01/2022,272,FWGE2372693GB,
18/01/2022,273,PBTH4477538001,
18/01/2022,274,%0SE83PR15501950246581812826,
18/01/2022,275,PBTH3613308001,
18/01/2022,276,MD627575937GB,
19/01/2022,277,JJD0002247792219187,
19/01/2022,278,6053053020128320572643001605,
19/01/2022,279,1 KIEN BACHUYEN,
19/01/2022,280,1 KIEN HAHOANG,
19/01/2022,281,1 KIEN HUONGCHUNG,
19/01/2022,282,15505169083934,
19/01/2022,283,H01NFA0032275670,
19/01/2022,284,L10023111012157729,
19/01/2022,285,L10023111012156394,
19/01/2022,286,L10023111012066488,
19/01/2022,287,MD187627275GB,
